surface,candidate_lemmas,wordnet_exact,parts_of_speech,default_action,reason
zoning,zone,yes,NN|VBG,standalone,WordNet records an independent sense alongside zone.
flooring,floor,yes,NN,standalone,WordNet records an independent sense alongside floor.
caring,care,yes,VBG|JJ|NN,standalone,WordNet records an independent sense alongside care.
buried,bury,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside bury.
defects,defect,no,,standalone,No supported inflection rule safely maps this word to defect.
settled,settle,yes,VBD|VBN|JJ|VB,standalone,WordNet records an independent sense alongside settle.
folding,fold,yes,VBG|JJ|NN,standalone,WordNet records an independent sense alongside fold.
emirates,emirate,no,,standalone,No supported inflection rule safely maps this word to emirate.
promised,promise,no,VBD|JJ|VBN,standalone,Past-tense form has an independent lexical role alongside promise.
newer,new,no,,standalone,No supported inflection rule safely maps this word to new.
cooler,cool,yes,,standalone,WordNet records an independent sense alongside cool.
breeding,breed,yes,,standalone,WordNet records an independent sense alongside breed.
breeds,breed,no,,standalone,No supported inflection rule safely maps this word to breed.
rapids,rapid,no,,standalone,No supported inflection rule safely maps this word to rapid.
cleaners,cleaner,yes,,standalone,WordNet records an independent sense alongside cleaner.
cashiers,cashier,no,,standalone,No supported inflection rule safely maps this word to cashier.
varied,vary,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside vary.
closest,close,yes,JJS,standalone,WordNet records an independent sense alongside close.
tigers,tiger,yes,,standalone,WordNet records an independent sense alongside tiger.
matched,match,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside match.
chambers,chamber,yes,NNS,standalone,WordNet records an independent sense alongside chamber.
warming,warm,yes,NN|VBG,standalone,WordNet records an independent sense alongside warm.
deeper,deep,no,JJR|RBR|RB,standalone,Comparison form has an independent lexical role alongside deep.
muslims,muslim,no,,standalone,No supported inflection rule safely maps this word to muslim.
saints,saint,no,,standalone,No supported inflection rule safely maps this word to saint.
regarded,regard,no,VBN|JJ|VBD,standalone,Past-tense form has an independent lexical role alongside regard.
outlined,outline,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside outline.
queens,queen,yes,NNS,standalone,WordNet records an independent sense alongside queen.
insured,insure,yes,VBN|VBD|JJ|NN,standalone,WordNet records an independent sense alongside insure.
wrapping,wrap,yes,VBG|NN,standalone,WordNet records an independent sense alongside wrap.
realtors,realtor,no,,standalone,No supported inflection rule safely maps this word to realtor.
adapted,adapt,yes,VBN|VBD,standalone,WordNet records an independent sense alongside adapt.
failing,fail,yes,VBG|NN,standalone,WordNet records an independent sense alongside fail.
retained,retain,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside retain.
andrews,andrew,yes,,standalone,WordNet records an independent sense alongside andrew.
briefing,brief,yes,NN|VBG,standalone,WordNet records an independent sense alongside brief.
solved,solve,yes,VBN|VBD,standalone,WordNet records an independent sense alongside solve.
consoles,console,no,,standalone,No supported inflection rule safely maps this word to console.
posing,pose,yes,VBG,standalone,WordNet records an independent sense alongside pose.
graphs,graph,no,,standalone,No supported inflection rule safely maps this word to graph.
finances,finance,yes,NNS|VBZ,standalone,WordNet records an independent sense alongside finance.
worried,worry,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside worry.
boring,bore,yes,JJ|VBG|NN,standalone,WordNet records an independent sense alongside bore.
quizzes,quiz,no,,standalone,No supported inflection rule safely maps this word to quiz.
typing,type,yes,NN|VBG,standalone,WordNet records an independent sense alongside type.
pointing,point,no,VBG|NN,standalone,Participle has an independent lexical role alongside point.
coupled,couple,yes,VBN|VBD,standalone,WordNet records an independent sense alongside couple.
handbags,handbag,no,,standalone,No supported inflection rule safely maps this word to handbag.
euros,euro,no,,standalone,No supported inflection rule safely maps this word to euro.
pirates,pirate,no,,standalone,No supported inflection rule safely maps this word to pirate.
hired,hire,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside hire.
licking,lick,yes,,standalone,WordNet records an independent sense alongside lick.
lasting,last,yes,VBG|JJ,standalone,WordNet records an independent sense alongside last.
webcams,webcam,no,,standalone,No supported inflection rule safely maps this word to webcam.
twisted,twist,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside twist.
blessed,bless,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside bless.
banners,banner,no,,standalone,No supported inflection rule safely maps this word to banner.
beats,beat,yes,VBZ|NNS,standalone,WordNet records an independent sense alongside beat.
valued,value,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside value.
dried,dry,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside dry.
stopping,stop,yes,VBG|NN,standalone,WordNet records an independent sense alongside stop.
knights,knight,no,,standalone,No supported inflection rule safely maps this word to knight.
altered,alter,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside alter.
sewing,sew,yes,,standalone,WordNet records an independent sense alongside sew.
lighter,light,yes,,standalone,WordNet records an independent sense alongside light.
advisors,advisor,no,,standalone,No supported inflection rule safely maps this word to advisor.
tactics,tactic,yes,NNS,standalone,WordNet records an independent sense alongside tactic.
shorter,short,no,,standalone,No supported inflection rule safely maps this word to short.
refined,refine,yes,,standalone,WordNet records an independent sense alongside refine.
rolled,roll,yes,VBD|VBN|JJ,standalone,WordNet records an independent sense alongside roll.
blocked,block,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside block.
lesser,less,yes,,standalone,WordNet records an independent sense alongside less.
pressing,press,yes,VBG|JJ,standalone,WordNet records an independent sense alongside press.
dressed,dress,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside dress.
dealt,deal,no,,standalone,No supported inflection rule safely maps this word to deal.
thrown,throw,yes,VBN,standalone,WordNet records an independent sense alongside throw.
prepaid,prepay,yes,,standalone,WordNet records an independent sense alongside prepay.
analyzed,analyze,yes,VBN|VBD,standalone,WordNet records an independent sense alongside analyze.
varying,vary,yes,VBG|JJ,standalone,WordNet records an independent sense alongside vary.
remedies,remedy,no,,standalone,No supported inflection rule safely maps this word to remedy.
weighted,weight,yes,JJ|VBD|VBN,standalone,WordNet records an independent sense alongside weight.
coating,coat,yes,NN|VBG,standalone,WordNet records an independent sense alongside coat.
cleared,clear,yes,VBN|VBD,standalone,WordNet records an independent sense alongside clear.
boating,boat,yes,NN|VBG,standalone,WordNet records an independent sense alongside boat.
clearing,clear,yes,VBG|JJ|NN,standalone,WordNet records an independent sense alongside clear.
coated,coat,yes,VBN|JJ,standalone,WordNet records an independent sense alongside coat.
hitting,hit,yes,VBG|NN,standalone,WordNet records an independent sense alongside hit.
striking,strike,yes,JJ|VBG,standalone,WordNet records an independent sense alongside strike.
podcasts,podcast,no,,standalone,No supported inflection rule safely maps this word to podcast.
assured,assure,yes,VBN|VBD|JJ|NN,standalone,WordNet records an independent sense alongside assure.
wives,wife|wive,no,,target-excluded,"Ambiguous lemmas: wife, wive."
framing,frame,yes,NN|VBG,standalone,WordNet records an independent sense alongside frame.
blocking,block,yes,VBG|JJ|NN,standalone,WordNet records an independent sense alongside block.
limiting,limit,yes,VBG,standalone,WordNet records an independent sense alongside limit.
chargers,charger,no,,standalone,No supported inflection rule safely maps this word to charger.
dozens,dozen,yes,NNS,standalone,WordNet records an independent sense alongside dozen.
picking,pick,yes,VBG|NN,standalone,WordNet records an independent sense alongside pick.
laden,lade,yes,,standalone,WordNet records an independent sense alongside lade.
pushing,push,yes,VBG|JJ|NN,standalone,WordNet records an independent sense alongside push.
dressing,dress,yes,NN|VBG|JJ,standalone,WordNet records an independent sense alongside dress.
craps,crap,yes,,standalone,WordNet records an independent sense alongside crap.
drilling,drill,yes,NN|JJ|VBG,standalone,WordNet records an independent sense alongside drill.
wiring,wire,yes,NN|VBG,standalone,WordNet records an independent sense alongside wire.
laughing,laugh,yes,VBG|JJ|NN,standalone,WordNet records an independent sense alongside laugh.
hostels,hostel,no,,standalone,No supported inflection rule safely maps this word to hostel.
banned,ban,yes,VBN|VBD,standalone,WordNet records an independent sense alongside ban.
briefs,brief,yes,NNS,standalone,WordNet records an independent sense alongside brief.
wrapped,wrap,yes,VBN|VBD,standalone,WordNet records an independent sense alongside wrap.
centered,center,yes,VBN|VBD,standalone,WordNet records an independent sense alongside center.
wound,wind,yes,NN|VBD|VBN|VB,standalone,WordNet records an independent sense alongside wind.
writings,writing,yes,NNS,standalone,WordNet records an independent sense alongside writing.
charging,charge,no,VBG|NN,standalone,Participle has an independent lexical role alongside charge.
lined,line,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside line.
rangers,ranger,no,,standalone,No supported inflection rule safely maps this word to ranger.
boxed,box,yes,VBN,standalone,WordNet records an independent sense alongside box.
labeled,label,yes,VBN|VBD,standalone,WordNet records an independent sense alongside label.
marking,mark,yes,VBG|NN,standalone,WordNet records an independent sense alongside mark.
highways,highway,no,NNS|JJ,standalone,Plural form has an independent lexical role alongside highway.
longest,long,yes,,standalone,WordNet records an independent sense alongside long.
dentists,dentist,no,,standalone,No supported inflection rule safely maps this word to dentist.
flyer,fly,yes,,standalone,WordNet records an independent sense alongside fly.
baking,bake,yes,NN|VBG,standalone,WordNet records an independent sense alongside bake.
computed,compute,no,VBN|JJ,standalone,Past-tense form has an independent lexical role alongside compute.
brakes,brake,yes,NNS|VBZ,standalone,WordNet records an independent sense alongside brake.
blowing,blow,yes,VBG|NN,standalone,WordNet records an independent sense alongside blow.
heated,heat,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside heat.
learners,learner,no,,standalone,No supported inflection rule safely maps this word to learner.
seekers,seeker,no,,standalone,No supported inflection rule safely maps this word to seeker.
suited,suit,yes,VBN|VBD,standalone,WordNet records an independent sense alongside suit.
skating,skate,yes,,standalone,WordNet records an independent sense alongside skate.
educated,educate,yes,VBN|JJ,standalone,WordNet records an independent sense alongside educate.
pulling,pull,yes,VBG,standalone,WordNet records an independent sense alongside pull.
touring,tour,no,VBG|JJ|NN,standalone,Participle has an independent lexical role alongside tour.
expired,expire,yes,VBD|VBN|JJ,standalone,WordNet records an independent sense alongside expire.
hayes,hay,yes,,standalone,WordNet records an independent sense alongside hay.
johns,john,yes,,standalone,WordNet records an independent sense alongside john.
valves,valve,no,,standalone,No supported inflection rule safely maps this word to valve.
impaired,impair,yes,,standalone,WordNet records an independent sense alongside impair.
dryer,dry,yes,,standalone,WordNet records an independent sense alongside dry.
ruled,rule,yes,VBD|VBN,standalone,WordNet records an independent sense alongside rule.
mpegs,mpeg,no,,standalone,No supported inflection rule safely maps this word to mpeg.
charming,charm,yes,JJ,standalone,WordNet records an independent sense alongside charm.
annoying,annoy,yes,,standalone,WordNet records an independent sense alongside annoy.
stays,stay,yes,VBZ|NNS,standalone,WordNet records an independent sense alongside stay.
drove,drive,yes,VBD|NN,standalone,WordNet records an independent sense alongside drive.
titled,title,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside title.
bleeding,bleed,yes,,standalone,WordNet records an independent sense alongside bleed.
engaging,engage,yes,VBG|JJ,standalone,WordNet records an independent sense alongside engage.
welding,weld,yes,,standalone,WordNet records an independent sense alongside weld.
deferred,defer,no,,standalone,No supported inflection rule safely maps this word to defer.
condos,condo,no,,standalone,No supported inflection rule safely maps this word to condo.
polished,polish,yes,,standalone,WordNet records an independent sense alongside polish.
locking,lock,yes,JJ|VBG,standalone,WordNet records an independent sense alongside lock.
simpsons,simpson,no,,standalone,No supported inflection rule safely maps this word to simpson.
flashers,flasher,no,,standalone,No supported inflection rule safely maps this word to flasher.
backing,back,yes,VBG|NN,standalone,WordNet records an independent sense alongside back.
figured,figure,yes,VBD|JJ|VBN,standalone,WordNet records an independent sense alongside figure.
enclosed,enclose,yes,,standalone,WordNet records an independent sense alongside enclose.
cooked,cook,yes,VBN|VBD,standalone,WordNet records an independent sense alongside cook.
pressed,press,yes,VBN|VBD,standalone,WordNet records an independent sense alongside press.
textiles,textile,no,,standalone,No supported inflection rule safely maps this word to textile.
closes,close,no,VBZ|NNS|NN,standalone,Plural form has an independent lexical role alongside close.
modems,modem,no,,standalone,No supported inflection rule safely maps this word to modem.
earning,earn,no,VBG|NN,standalone,Participle has an independent lexical role alongside earn.
movers,mover,no,,standalone,No supported inflection rule safely maps this word to mover.
switched,switch,no,VBD|VBN|JJ,standalone,Past-tense form has an independent lexical role alongside switch.
grams,gram,no,,standalone,No supported inflection rule safely maps this word to gram.
viewers,viewer,yes,NNS,standalone,WordNet records an independent sense alongside viewer.
throwing,throw,no,VBG|NN,standalone,Participle has an independent lexical role alongside throw.
stripes,stripe,yes,,standalone,WordNet records an independent sense alongside stripe.
jumping,jump,yes,VBG|NN,standalone,WordNet records an independent sense alongside jump.
shades,shade,yes,NNS,standalone,WordNet records an independent sense alongside shade.
earliest,early,yes,,standalone,WordNet records an independent sense alongside early.
stuffed,stuff,yes,,standalone,WordNet records an independent sense alongside stuff.
bored,bore,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside bore.
knitting,knit,yes,,standalone,WordNet records an independent sense alongside knit.
mating,mat,yes,NN|JJ|VBG,standalone,WordNet records an independent sense alongside mat.
fares,fare,no,NNS|NN|VBZ,standalone,Plural form has an independent lexical role alongside fare.
safer,safe,no,,standalone,No supported inflection rule safely maps this word to safe.
touched,touch,yes,VBD|VBN,standalone,WordNet records an independent sense alongside touch.
wishing,wish,yes,VBG|NN,standalone,WordNet records an independent sense alongside wish.
smallest,small,no,,standalone,No supported inflection rule safely maps this word to small.
scared,scar,yes,VBN|JJ|RB|VBD,standalone,WordNet records an independent sense alongside scar.
